Sentence	B	W	A	H	Abs
Karl-Anthony Towns , who has averaged 24 points and 13 rebounds in his last six games was relatively quiet , as he finished with 16 points and six rebounds , in 37 minutes .	1	1	1	0	PROPN-PERSON NUM-CARDINAL NUM-FAC PUNCT-.
Hayward has led Utah with an average of 20 points per game in 2015 - 16 .	0	0	1	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL PUNCT-.
Mason Plumlee was close to a triple - double , with 10 points , 11 rebounds and seven assists , in 23 minutes .	1	1	0	0	DET-DATE ADJ-DATE NOUN-DATE PROPN-GPE PROPN-PRODUCT PROPN-GPE X-CARDINAL_COMPARISON NOUN-TIME PUNCT-.
He recorded 19 points Wednesday on 7 - of - 16 shooting , 10 rebounds and five assists , giving him three double - doubles in his last three games since the injury .	1	1	1	1	NUM-CARDINAL PROPN-GPE PROPN-DATE PROPN-FAC DET-TIME ADJ-TIME NOUN-TIME NUM-PERCENT NOUN-PERCENT NUM-PERCENT NOUN-PERCENT PUNCT-.
Richardson clocked 31 minutes and shot 9 - for - 12 , including four big three - pointers to help establish and maintain Miami 's massive lead .	1	1	0	0	ADJ-DATE PROPN-DATE NUM-CARDINAL PUNCT-.
Steven Adams remained in the starting lineup with Ibaka out , and added a double - double of his own with 14 points ( 5 - 9 FG , 4 - 7 FT ) and 13 rebounds .	1	1	0	1	DET-ORG PROPN-ORG PROPN-DATE DET-ORG PROPN-ORG NUM-CARDINAL DET-ORG PROPN-ORG NUM-CARDINAL PUNCT-.
Second-year man Willy Hernangomez , seeing his first game action in four contests , led the bench with 14 points , six rebounds , two blocks and a steal .	1	1	1	0	DET-ORG PROPN-ORG PROPN-GPE PROPN-ORG ADJ-ORDINAL DET-DATE NOUN-DATE PUNCT-.
Carmelo Anthony was up for the challenge , as he led his squad with 28 points , nine rebounds , two steals and one assist , in 39 minutes .	1	1	0	0	PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Singler finished with a season - high 21 points on 5 - of - 7 shooting from downtown .	1	0	1	0	DET-ORG PROPN-ORG PROPN-DATE X-CARDINAL_COMPARISON ADV-ORDINAL NUM-CARDINAL NUM-PERCENT NOUN-PERCENT DET-ORG PROPN-ORG ADV-ORDINAL PROPN-GPE PUNCT-.
Minnesota received double - digit scoring performances from starters Andrew Wiggins ( who returned from a one - game absence due to a knee injury ) , Zach LaVine ( who replaced the injured Ricky Rubio ) and rookie sensation Karl Anthony-Towns , who posted his fourth consecutive double - double and sixth overall on the season .	0	1	1	1	PROPN-NORP X-CARDINAL_COMPARISON DET-DATE ADJ-DATE NOUN-DATE PUNCT-.
Jimmy Butler recorded a career - high 10 assists as the de facto point guard .	0	0	1	0	PROPN-PERSON NUM-CARDINAL DET-TIME NOUN-TIME PUNCT-.
It was a nice bounce - back game for Porzingus , as the young big man had n't scored more than 20 points since Dec. 7 against the Mavericks .	0	1	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON DET-DATE ADJ-DATE NOUN-DATE PUNCT-.
Domantas Sabonis tallied six points , seven rebounds , one assist and one block .	1	0	0	0	NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON NOUN-PERSON PROPN-GPE PUNCT-.
The Atlanta Hawks ( 11 - 6 ) went on the road and took down the Miami Heat ( 9 - 9 ) 112 - 102 on Wednesday at AmericanAirlines Arena .	1	1	0	0	PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL PUNCT-.
The Jazz were then able to stay on track and earn a solid home win .	0	1	1	0	PROPN-PERSON PUNCT-.
Aaron Gordon accrued 18 points , six rebounds and seven assists in the loss , while Serge Ibaka recorded a double - double .	1	1	0	0	PROPN-ORG X-CARDINAL_COMPARISON SYM-DATE NUM-DATE NUM-CARDINAL PROPN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
The Lakers ( 20 - 47 ) were unable to match the shooting efficiency the Nuggets had going , and finished 30 percent from three point range and 43 percent from the field , compared to the lights out 54 percent effort by Denver .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Gordon Hayward was the player of the game for Utah , as he dropped 24 points and seven rebounds .	1	1	0	0	PROPN-ORG X-CARDINAL_COMPARISON PUNCT-.
Recently-injured superstar Kevin Durant played his third game since returning from injury on Wednesday and looked very much like himself , scoring 29 points on 11 - of - 16 shooting along with eight rebounds and five assists .	1	1	1	0	PROPN-PERSON NUM-CARDINAL PROPN-NORP DET-DATE NOUN-DATE PUNCT-.
Harden had only 11 points ( 5 - 13 FG , 1 - 6 3Pt ) and three assists , marking his worst game offensively since mid - November .	1	0	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
James Harden had a monster game , as he collected 41 points , 14 rebounds and 11 assists .	1	1	0	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL NUM-TIME ADP-TIME NUM-TIME NOUN-TIME PUNCT-.
Meanwhile , Wilson Chandler continues to look to break away from his start - of - the - season slump , as he had 19 points ( 7 - 12 FG , 2 - 4 3Pt , 3 - 4 FT ) and seven rebounds .	1	0	1	0	PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-TIME NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Jae Crowder with the other Celtics starter with double - digit scoring , managing 10 points , a pair of rebounds , a pair of assists and four steals .	1	1	0	0	PROPN-PERSON PROPN-DATE NUM-CARDINAL X-CARDINAL_COMPARISON PUNCT-.
The Rockets star player added 34 points and eight rebounds to his strong start to the season .	1	0	1	0	PROPN-PERSON NUM-CARDINAL NOUN-CARDINAL CCONJ-CARDINAL NUM-CARDINAL PUNCT-.
Marquese Chriss had his best game of the year , scoring 14 points and grabbing 12 boards .	1	0	1	0	PROPN-PERSON PROPN-ORG NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
J.J. Redick left the game with a bruised left heel , and it is unlikely that he will play in the Clippers ' final game of the season Wednesday , but initial reports suggest it is only a minor setback before the playoffs .	0	1	1	1	PROPN-PERSON PROPN-ORG NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
Pau Gasol notched his league - leading 48th double with 19 points and 12 rebounds in a team - high 28 minutes , throwing his name into the Comeback Player of the Year conversation .	1	0	1	0	NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
The 25 - year - old impressively tallied 12 points and five assists in the final period to spearhead the Wizards ' offensive attack and secure the victory .	1	1	0	0	PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
Eric Bledsoe followed with 23 points , seven assists , five rebounds and a block .	1	0	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Darren Collison 's 23 points followed , while Arron Afflalo posted 14 points .	1	0	0	0	NUM-DATE PUNCT-DATE NOUN-DATE PUNCT-DATE ADJ-DATE NUM-CARDINAL DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PUNCT-.
The starting five 's tally was rounded out by Chris Bosh , who supplied 13 points , seven rebounds , an assist and a block .	1	1	0	0	PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL NUM-TIME NOUN-TIME PROPN-PERSON PUNCT-.
Devin Booker spearheaded the Suns ' attack with a game - high 28 points , and he added seven assists , three rebounds , a steal and a block .	1	1	0	0	PROPN-PERSON DET-DATE NOUN-DATE PROPN-DATE PUNCT-.
Jabari Parker continued his comeback from an ACL injury with an efficient eight pioints , eight rebounds , one assist , and two steals in 24 minutes .	1	0	0	1	PROPN-PERSON DET-DATE NOUN-DATE NUM-CARDINAL PUNCT-.
In this game , he collected 24 points , 10 rebounds and eight assists in the win .	1	0	0	0	PROPN-ORG NUM-CARDINAL PROPN-ORG DET-DATE NOUN-DATE PUNCT-.
Veteran big man Al Jefferson delivered a vintage perfromance on Wednesday , dropping in 26 points on 11 - for - 15 shooting and showcasing a wide array of post moves .	1	1	1	0	PROPN-PERSON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
Greg Monroe continues to be a force down low , as he recorded his second double - double of the season of 23 points ( 10 - 14 FG ) and 13 rebounds in 39 minutes .	1	1	1	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
Kentavious Caldwell-Pope led the team in scoring with 21 points , but missed an open game - tying three with two seconds left .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Devin Booker had a game to forget , as he went 2 - of - 13 from the field en route to eight points , three rebounds and four assists .	1	1	0	0	PROPN-PERSON ADV-CARDINAL NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-PERSON PROPN-DATE PUNCT-.
He also added seven rebounds and three assists in his best game of the year .	1	0	1	0	PROPN-PERSON ADJ-ORDINAL PROPN-DATE PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY NUM-CARDINAL PUNCT-.
In the end , the game was won on the glass , as the Nuggets managed to out - rebound the Pelicans 58 - 34 on the night .	1	1	0	0	PROPN-PERSON PROPN-GPE PROPN-PERSON NUM-CARDINAL PUNCT-.
Andre Iguodala had a nice game off the bench , providing nine points , six rebounds and five assists .	1	1	0	0	PROPN-ORG X-CARDINAL_COMPARISON SYM-DATE NUM-DATE NOUN-efficiency DET-ORG PROPN-ORG NUM-PERCENT NOUN-PERCENT NUM-CARDINAL NUM-PERCENT NOUN-PERCENT NUM-PERCENT NOUN-PERCENT PROPN-GPE PUNCT-.
Despite heading into the contest without the services of DeMar DeRozan ( ankle ) , the Raptors ( 30 - 21 ) were still the clear - cut favorites over the Magic ( 20 - 32 ) , which had lost five of their last six games .	1	1	1	1	PROPN-PERSON NUM-CARDINAL PROPN-PERSON PUNCT-.
For the Clippers , it was a disappointing loss that they let slip away .	0	1	0	0	DET-EVENT PROPN-EVENT PUNCT-.
Greg Monroe extended a notable streak himself , posting a sixth straight double - double with 15 points , 10 rebounds , an assist and a block .	1	1	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL PROPN-DATE PROPN-FAC PUNCT-.
Towns had four blocked shots and two assists to add to his already impressive stat line , but the contribution of Minnesota 's other young stars was equally impressive .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
The Jazz ( 13 - 9 ) edged out a close victory down the stretch after the Lakers ( 10 - 13 ) found life late in the second half .	1	1	0	0	PROPN-PERSON ADJ-CARDINAL SCONJ-CARDINAL NUM-CARDINAL PROPN-DATE NUM-DATE PROPN-ORG PUNCT-.
Veteran Brook Lopez once again led the Nets in scoring , racking up 20 points on the night .	1	1	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
The Pelicans came into this game shorthanded in the second half of a back - to - back and fought hard in a tough loss .	0	1	1	0	PROPN-GPE PROPN-PERSON NUM-CARDINAL PROPN-PERSON PUNCT-PERSON NOUN-PERSON ADJ-ORDINAL DET-DATE NOUN-DATE PUNCT-.
They checked in to Friday 's showdown with the high - octane Rockets ( 22 - 9 ) second only to the Jazz in points allowed per game ( 97 ) , while holding opponents to a 43 percent success rate from the field that also ranked them as second - best behind Utah .	1	1	1	0	PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY PUNCT-.
Sophomore guard Marcus Smart provided a spark off the bench , scoring 15 points and grabbing 11 rebounds in 31 minutes .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PRON-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Double figures was the theme in terms of scoring for both the Phoenix Suns and the Portland Trail_Blazers in the emphatic overtime game that resulted in the Suns first win of the season .	0	1	1	0	ADJ-DATE PUNCT-DATE NOUN-DATE PROPN-PERSON ADJ-DATE PUNCT-DATE NOUN-DATE PROPN-PERSON NUM-CARDINAL PUNCT-.
The Bucks ( 39 - 36 ) checked into Wednesday 's contest playing outstanding basketball , as they 'd notched victories in 12 of their previous 15 games .	1	0	1	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
Curry , who celebrated his 29th birthday on Tuesday , led the team with 29 points but shot just 8 - of - 23 along with five turnovers .	1	1	0	1	PROPN-PERSON PART-PERSON NUM-TIME NOUN-TIME X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-GPE PUNCT-.
After tallying 123 points in the loss to Oklahoma City on Wednesday , the Bucks roared right back with another outstanding night on offense , shooting a stellar 58 percent from the field and 43 percent from beyond the arc .	1	1	1	0	PROPN-PERSON NUM-CARDINAL PROPN-DATE NUM-DATE PUNCT-DATE ADP-DATE PUNCT-DATE NUM-DATE NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
A new week started with more of the same , as Milwaukee exploited a depleted Heat squad by scoring an impressive road triumph at the American_Airlines_Arena , where Miami had tallied a 15 - 8 record coming into tonight 's contest .	1	1	1	0	PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Al-Farouq Aminu continued his recent stretch of strong play off the bench , submitting 12 points , seven rebounds , three blocks and one steal .	1	0	1	0	PROPN-PERSON PROPN-GPE NUM-CARDINAL X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PUNCT-.
Andre Iguodala ( 15 points , six rebounds , six assists ) nailed a clutch , off balance , 3 - point shot with :5 remaining in regulation , and took the momentum into overtime where he added three assists and two points to his quality 37:53 off the bench .	1	1	0	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON NOUN-PERSON NUM-CARDINAL PROPN-PERSON ADJ-DATE NUM-DATE PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
The Bulls ( 19 - 20 ) , which play a total of five games this week , announced before the game that both Jimmy Butler ( illness ) and Dwyane Wade ( rest ) would sit out Tuesday 's contest , which automatically made them a sizable underdog on the road against a Wizards ( 19 - 18 ) squad that was at full strength .	1	1	1	0	PROPN-PERSON NUM-CARDINAL ADV-CARDINAL NUM-CARDINAL PUNCT-.
Sacramento ( 10 - 16 ) played this game without Rudy Gay ( hip ) , but they still pulled out an unlikely road win .	1	1	0	0	PROPN-GPE NUM-CARDINAL PROPN-GPE ADJ-DATE NUM-DATE PROPN-GPE NUM-CARDINAL ADV-PERCENT NUM-PERCENT NOUN-PERCENT PUNCT-.
In DeMar DeRozan 's first contest since Nov. 28 , when he suffered a torn left groin , he immediately entered the starting five and did n't miss a beat , supplying 20 points , four rebounds , three assists , one steal , and one block in 29 minutes .	1	1	1	0	PROPN-NORP X-CARDINAL_COMPARISON PROPN-NORP X-CARDINAL_COMPARISON PROPN-PERSON PART-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-ORG X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL PROPN-NORP X-CARDINAL_COMPARISON ADJ-ORDINAL PUNCT-.
Orlando 's Elfrid Payton had his triple - double streak halted at two games with a 6 point , eight rebound , and eight assist outing .	1	0	1	0	PROPN-PERSON NUM-CARDINAL PROPN-ORG PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL PUNCT-.
Shelvin Mack and Hood followed Gobert 's lead with matching 15 - point efforts , with the former also tallying two rebounds , two assists and three steals , and the latter registering three rebounds and an assist .	1	1	0	0	PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL PUNCT-.
D'Angelo Russell added 21 points of his own , but he shot a subpar 7 - of - 20 from the field Wednesday .	1	0	1	0	PROPN-ORG NUM-CARDINAL PUNCT-.
The veteran pulled down seven offensive rebounds and 14 boards in total , also notching 14 points , three assists , a block , and a steal .	1	0	1	0	PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL DET-DATE NOUN-DATE NUM-CARDINAL PUNCT-.
Rest for All-Star Kyle Lowry hurt the team 's play , as only star guard DeMar DeRozan scored more than 13 on the night .	1	1	0	0	PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY PUNCT-.
Harden finished the game with 53 points , 16 rebounds and 17 assists in the best game of his career .	1	0	1	0	PROPN-ORG DET-EVENT PROPN-EVENT PROPN-DATE NOUN-TIME PROPN-GPE PROPN-DATE NOUN-TIME PROPN-ORG PUNCT-.
His 39 points led Cleveland , while LeBron James compiled 26 points , 13 assists and 10 rebounds for his second triple - double of the season , both of which have come in the last three games .	1	1	1	0	PROPN-PERSON PROPN-ORG DET-DATE NOUN-DATE PROPN-PERSON NUM-PERSON ADV-ORDINAL DET-DATE NOUN-DATE PROPN-PERSON PART-PERSON NUM-DATE PUNCT-.
Denver had five players score in double digits but had no one step up in the clutch to counter the Suns ' punch .	0	1	0	0	PROPN-GPE X-CARDINAL_COMPARISON PROPN-GPE X-CARDINAL_COMPARISON DET-LOC PROPN-LOC X-CARDINAL_COMPARISON PUNCT-) NUM-CARDINAL PUNCT-.
The Bulls will finish off their back - to - back set in Portland on Friday against the Trail_Blazers .	0	0	1	0	PROPN-GPE NUM-CARDINAL PROPN-ORG PUNCT-.
DeMarcus Cousins tallied a monster double - double , collecting an eye - popping and season - high 40 points and 13 rebounds in just 35 minutes .	1	1	1	0	NUM-CARDINAL NOUN-ORG NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-PERSON PUNCT-.
The Nets were paced by Wayne Ellington , who managed 21 points , a rebound and an assist .	1	1	0	0	PROPN-PERSON PROPN-ORG PROPN-PERSON ADJ-ORDINAL PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY NUM-TIME NOUN-TIME PUNCT-.
In their regular season finale , the host Utah Jazz took down the San_Antonio Spurs , 101 - 97 .	1	1	0	0	PROPN-PERSON DET-DATE ADJ-DATE NOUN-DATE ADP-DATE DET-DATE NOUN-DATE NUM-CARDINAL PUNCT-.
Carmelo Anthony 's 30 - point , 11 - rebound double - double led the Knicks .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Phoenix was once again led by its guards , Eric Bledsoe and Brandon Knight , who totaled a combined 44 points , seven assists , and four steals in the loss .	0	1	1	0	X-CARDINAL_COMPARISON SYM-DATE NUM-DATE DET-DATE ADJ-DATE NOUN-DATE X-CARDINAL_COMPARISON PUNCT-.
The short - handed Pelicans had five players score in double digits , as guys stepped up to earn their 19th win at home .	0	1	1	0	PROPN-GPE ADJ-ORDINAL PROPN-PERSON PUNCT-.
Veteran Amar ' e Stoudemire paced the Heat bench with a season - high 11 points .	0	1	1	0	NOUN-addition PROPN-PERSON NUM-CARDINAL ADV-CARDINAL NUM-CARDINAL PUNCT-.
Booker had a relatively quiet night on the scoreboard by his recent standards , but still totaled 18 points , four rebounds and four assists .	1	1	1	0	PROPN-PERSON PROPN-ORG NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
The Timberwolves head back home to face off with the Detroit Pistons on Friday night , while the Raptors visit the Boston Celtics on Friday evening as well .	0	0	1	0	DET-WORK_OF_ART PROPN-WORK_OF_ART X-CARDINAL_COMPARISON SYM-PERCENT NUM-PERCENT X-CARDINAL_COMPARISON PROPN-DATE DET-ORG PROPN-ORG X-CARDINAL_COMPARISON SYM-PERCENT NUM-PERCENT X-CARDINAL_COMPARISON PROPN-DATE PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON PUNCT-.
Pau Gasol continued with his dominant season for the Bulls , going 11 - for - 20 from the field too score a game - high of 25 points , while also adding 13 rebounds and four blocked shots .	1	1	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Buddy Hield had his best game in the NBA , scoring a career - high 18 points on 8 - of - 13 shooting off the bench .	1	0	1	0	PROPN-DATE PUNCT-, PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-DATE PUNCT-DATE ADP-DATE PUNCT-DATE NUM-DATE ADJ-ORDINAL NUM-CARDINAL PROPN-PERSON ADP-PERCENT NUM-PERCENT NOUN-PERCENT PUNCT-.
As a team , the Jazz won the game at the 3 - point line , shooting a scorching 15 - of - 31 from behind the arc .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Rodney Hood was next in line with 14 points , three rebounds , an assist and a steal , as the only other Jazz player who managed double - digit points .	1	1	0	0	PROPN-GPE X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-PERSON PUNCT-.
The only other player to score double digits for the Blazers was Allen Crabbe , who dropped 15 points ( 5 - 11 FG , 3 - 6 3Pt ) , three rebounds and two assists .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
Curry accumulated 39 points , 10 rebounds and 12 assists en route to his seventh triple - double of his career .	1	0	1	0	PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY NUM-CARDINAL DET-ORG PROPN-ORG PROPN-Cavaliers DET-ORG PROPN-ORG PROPN-CARDINAL ADJ-ORDINAL NUM-CARDINAL PUNCT-.
Just as important , the 25 - year - old emerged from a 9 of 33 shooting funk over the preceding two games to drain 53 percent of his 17 attempts from the field .	1	0	1	0	PROPN-PERSON NUM-CARDINAL PROPN-ORG PUNCT-.
After three consecutive double - digit scoring outings that made it seem as if he was back on track , guard Kevin Martin notably crashed back down to earth with only two points on 1 - of - 8 shooting over 22 minutes .	1	1	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
The Rockets were led by Harden 's 33 points , seven rebounds , seven assists , two steals and a block .	1	1	0	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PUNCT-) X-CARDINAL_COMPARISON PROPN-DATE PROPN-GPE PUNCT-.
The Clippers didn ’ t play their best ball in this game , but still prevailed with a win .	0	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
Nikola Vucevic recorded a 21 - point , 13 - rebound double - double on 10 - of - 15 shooting .	1	1	0	0	PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-DATE PROPN-ORG PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-DATE PROPN-ORG PROPN-DATE ADJ-ORDINAL PROPN-DATE NUM-DATE NUM-PERCENT NOUN-PERCENT NOUN-field PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-DATE PROPN-ORG PROPN-DATE NUM-DATE PROPN-PERSON PART-PERSON NUM-CARDINAL PROPN-DATE PROPN-ORG NUM-CARDINAL PUNCT-.
DeMar DeRozan went just 12 - of - 30 from the field , but he led the team with 28 points , eight rebounds and six assists .	1	1	0	0	PROPN-GPE PROPN-ORG NUM-CARDINAL PUNCT-.
Robin Lopez had one of his best games for the Bulls , accumulating 10 points , nine rebounds and eight assists .	1	0	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-PERSON VERB-PERSON NUM-CARDINAL PROPN-PERSON PUNCT-.
The New_Orleans Pelicans ( 21 - 21 ) defeated the Los_Angeles Lakers ( 12 - 31 ) 96 - 80 on Wednesday at the Smoothie_King_Center in New_Orleans .	1	1	0	0	PROPN-DATE DET-ORG PROPN-ORG X-CARDINAL_COMPARISON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-ORG DET-FAC PROPN-FAC NOUN-FAC X-CARDINAL_COMPARISON PUNCT-.
Paul George went 13 - of - 27 from the field , including 5 - of - 10 from long range on his way to a season - high 37 points , including 15 points in a row during an impressive fourth quarter comeback by the Pacers .	1	0	1	0	NUM-CARDINAL PUNCT-.
DeRozan paced the Raptors with a spectacular career - high 43 - point tally that he supplemented with five rebounds and five assists , With Lowry out of the lineup , DeRozan took 28 shot attempts overall , draining 15 , and also visited the charity stripe a game - high 12 times .	1	1	1	0	PROPN-ORG NUM-CARDINAL DET-CARDINAL ADJ-CARDINAL NUM-CARDINAL PROPN-PRODUCT NUM-CARDINAL PUNCT-.
Rookie Emmanuel Mudiay continued his good form though , as he tallied 25 points , six rebounds and seven assists in the loss .	1	0	1	0	PROPN-PERSON NUM-CARDINAL ADJ-ORDINAL PUNCT-.
Dieng looked solid defensively , recording three blocks and a steal while also playing efficient offense , tallying 11 points on 4 - of - 6 shooting .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
D'Angelo Russell led their startes with 20 points , six rebounds and six assists .	1	1	0	0	DET-WORK_OF_ART PROPN-WORK_OF_ART PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY NUM-CARDINAL PUNCT-.
Jimmy Butler continued his MVP campaign , as he tallied 40 points , seven rebounds and six assists on 14 - of - 23 shooting .	1	0	1	0	PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
He 's had two productive games in a row as well , combining for 38 points and 19 rebounds .	1	1	1	0	PROPN-PERSON PROPN-ORG NUM-CARDINAL X-CARDINAL_COMPARISON SYM-PERCENT NUM-PERCENT PROPN-PERCENT X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
Michael Kidd-Gilchrist posted a 14 - point , 11 - rebound double - double that also included a block .	1	1	0	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON SYM-DATE NUM-DATE PROPN-ORG X-CARDINAL_COMPARISON DET-LAW PROPN-LAW X-CARDINAL_COMPARISON SYM-DATE NUM-DATE DET-ORG PROPN-ORG PROPN-Nets X-CARDINAL_COMPARISON SYM-DATE NUM-DATE NUM-CARDINAL PUNCT-.
Thomas Robinson was the only player to shoot above 50 percent , as he amassed seven points and 11 rebounds on 3 - of - 5 shooting .	1	1	0	0	PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL PUNCT-.
The former added five rebounds , an assist and a steal , while the latter hauled in a massive 18 rebounds and added two assists , two steals and a block .	1	0	0	0	NOUN-QUANTITY NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
The New_Orleans Pelicans ( 40 - 34 ) defeated the Los_Angeles Lakers ( 20 - 54 ) 113 - 92 on Wednesday .	1	1	0	0	PROPN-PERSON DET-DATE ADJ-DATE NOUN-DATE NUM-CARDINAL PROPN-PERSON NUM-CARDINAL PUNCT-.
Khris Middleton came close to a triple - double , with 21 points ( 7 - 13 FG , 1 - 5 3Pt , 6 - 7 FT ) , seven rebounds and seven assists .	1	1	0	0	PROPN-PERSON NUM-CARDINAL NOUN-CARDINAL NUM-CARDINAL PUNCT-.
The Nets have a quick turnaround , as they play the Minnesota Timberwolves on Saturday in their next game .	0	0	1	0	PROPN-PERSON ADV-CARDINAL NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY PUNCT-.
Through nine games , the Clippers have now seen only one loss : a two - point defeat by the Thunder .	0	0	1	0	PROPN-PERSON NUM-TIME NOUN-TIME NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
