out_type,raw
wind50M,"wind50M SSW 38-43 GUSTS 52 VEERING SW 33-38 GUSTS 46 BY 1200, VEERING WNW 23-28 IN THE EVENING"
waveSigHeight,waveSigHeight 3.5-4.0 RISING 5.0-6.0 IN BUILDING W'LY SWELL
waveMaxHeight,waveMaxHeight 5.5-6.5 RISING 8.0-9.5 IN BUILDING W'LY SWELL
wavePeriod,"wavePeriod SEA 7-8 FALLING 5, SWELL 9 BECOMING 11"
windconf,windconf LOW DUE TO UNCERTAINTY IN TRACK OF LOW
wind10M,"wind10M SSE 12-16 BACKING E 18-22 THIS MORNING, EASING 12-16 BY EVENING THEN BECOMING NE 16-20 LATER"
wind50M,"wind50M SSE 15-20 BACKING E 23-28 THIS MORNING, EASING 15-20 BY EVENING THEN BECOMING NE 20-25 LATER"
waveconf,waveconf LOW DUE TO UNCERTAINTY IN WINDS
waveSigHeight,waveSigHeight 2.0-2.5 LOCALLY 2.5-3.0 AT FIRST
waveMaxHeight,waveMaxHeight 3.0-4.0 LOCALLY 4.0-5.0 AT FIRST
wavePeriod,"wavePeriod SEA 4-5, WSW SWELL 8 AT FIRST"
wind10M,wind10M S-SW 18-22 INCREASING THIS EVENING TO S'LY 28-32 THEN LATE IN PERIOD VEERING S-SW 25-30
wind50M,wind50M S-SW 22-28 INCREASING THIS EVENING TO S'LY 35-40 THEN LATE IN PERIOD VEERING S-SW 32-38
waveSigHeight,waveSigHeight 2.5-3.0 INCREASING 3.5-4.0 LATER
waveMaxHeight,waveMaxHeight 4.0-5.0 INCREASING 5.5-6.5 LATER
wavePeriod,wavePeriod 6-8 BECOMING 8-11
wind10M,wind10M SE 15-20 EASING 10-15
wind50M,wind50M SE 18-25 EASING 12-18
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 2.5-3.0
wind10M,wind10M S'LY 15-20 STEADILY BACKING S-SE 22-28
wind50M,wind50M S'LY 20-25 STEADILY BACKING S-SE 28-35
waveSigHeight,waveSigHeight 1.5-2.0 BECOMING 2.5-3.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 2.5-3.0 BECOMING 4.0-5.0 BY END OF PERIOD
wavePeriod,"wavePeriod 4-6 WIND WAVE, 7-8 SWELL"
wind10M,wind10M N 20-24 GUSTS 32 VEERING NE 16-20 GUSTS 28 BY EVENING
wind50M,wind50M N 26-30 GUSTS 38 VEERING NE 20-26 GUSTS 34 BY EVENING
waveSigHeight,waveSigHeight 2.0-3.0
waveMaxHeight,waveMaxHeight 3.0-5.0
wind10M,wind10M N-NNW 28-32 GUSTS 45 EASING GRADUALLY 10-15 BY EVENING
wind50M,wind50M N-NNW 35-40 GUSTS 55 EASING GRADUALLY 12-18 BY EVENING
waveSigHeight,waveSigHeight 5.0-6.0 FALLING 3.5-4.0
waveMaxHeight,waveMaxHeight 8.0-9.5 FALLING 5.5-6.5
wind10M,wind10M SSE 32-38 GUSTS 48 VEERING S 28-32 GUSTS 40 THIS EVENING
wind50M,wind50M SSE 40-48 GUSTS 58 VEERING S 35-40 GUSTS 48 THIS EVENING
waveSigHeight,waveSigHeight 4.5-5.0 RISING 5.5-6.0 FOR A TIME
waveMaxHeight,waveMaxHeight 7.0-8.0 RISING 9.0-10.0 FOR A TIME
wind10M,wind10M NE 10 OR LESS VEERING S'LY AND LATER RISING 12-18
wind50M,wind50M NE 12 OR LESS VEERING S'LY AND LATER RISING 15-22
waveSigHeight,waveSigHeight AROUND 1.5 BECOMING 1.0-1.5
waveMaxHeight,waveMaxHeight AROUND 2.5 BECOMING 1.5-2.5
wind10M,wind10M SE'LY 35-40 WITH GUSTS 50 EASING 25-30 LATER
wind50M,wind50M SE'LY 45-50 WITH GUSTS 60 EASING 32-38 LATER
waveSigHeight,waveSigHeight MAINLY 5.5-6.5 FALLING LATER TO 4.5-5.5
waveMaxHeight,waveMaxHeight MAINLY 8.5-10.5 FALLING LATER TO 7.0-8.5
wind10M,"wind10M WNW 16-20 BACKING WSW 5-10 BY MIDDAY, BACKING S THIS AFTERNOON AND RISING 30-34 BY LATE EVENING"
wind50M,"wind50M WNW 20-25 BACKING WSW 6-12 BY MIDDAY, BACKING S THIS AFTERNOON AND RISING 38-43 BY LATE EVENING"
waveSigHeight,waveSigHeight 5.0-6.0 FALLING 4.0-5.0 BY AFTERNOON
waveMaxHeight,waveMaxHeight 8.0-9.5 FALLING 6.5-8.0 BY AFTERNOON
wavePeriod,"wavePeriod SEA 3-5 RISING 6-8, SWELL 12-14"
windconf,windconf MODERATE DUE TO PROXIMITY OF LOW
wind10M,wind10M NNE 22-26 GUSTS 34 INCREASING 26-30 GUSTS 38 BY MIDDAY THEN GRADUALLY DECREASING 12-16 LATE EVENING
wind50M,wind50M NNE 28-32 GUSTS 40 INCREASING 32-38 GUSTS 46 BY MIDDAY THEN GRADUALLY DECREASING 15-20 LATE EVENING
waveSigHeight,"waveSigHeight 2.5-3.0 RISING 3.5-4.0 BY MID AFTERNOON,LATER 3.0-3.5"
waveMaxHeight,"waveMaxHeight 4.0-5.0 RISING 5.5-6.5 BY MID AFTERNOON,LATER 5.0-5.5"
wind10M,wind10M S-SW 20-25 BACKING S'LY 25-30 GUSTS 40 BY AFTERNOON. EASING 22-28 LATER
wind50M,wind50M S-SW 25-32 BACKING S'LY 32-38 GUSTS 48 BY AFTERNOON. EASING 28-35 LATER
waveSigHeight,waveSigHeight 3.0-3.5 POSSIBLY 3.5-4.0 FOR A TIME
waveMaxHeight,waveMaxHeight 5.0-5.5 POSSIBLY 5.5-6.5 FOR A TIME
wind10M,"wind10M VARIABLE, MAINLY SE  8 OR LESS, INCREASING SE 12-18 LATER"
wind50M,"wind50M VARIABLE, MAINLY SE 10 OR LESS, INCREASING SE 15-22 LATER"
waveSigHeight,waveSigHeight AROUND 1.5 FALLING AROUND 1.0 FOR A TIME
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING AROUND 1.5 FOR A TIME
wind10M,"wind10M SE 25-30 VEERING AND EASING S-SW  8 OR LESS EARLY AFTERNOON, BECOMING SW-W LATER"
wind50M,"wind50M SE 30-38 VEERING AND EASING S-SW 10 OR LESS EARLY AFTERNOON, BECOMING SW-W LATER"
waveSigHeight,waveSigHeight 3.5-4.0 FALLING AROUND 2.5
waveMaxHeight,waveMaxHeight 5.5-6.5 FALLING AROUND 4.0
wind10M,wind10M NE-ENE 08-12 GRADUALLY VEERING ESE BY EVENING
wind50M,wind50M NE-ENE 12-15 GRADUALLY VEERING ESE BY EVENING
wind10M,wind10M SSE 20-24 GUSTS 36 EASING 16-20 BY EVENING AND 10-14 IN THE EVENING
wind50M,wind50M SSE 25-30 GUSTS 45 EASING 20-25 BY EVENING AND 12-18 IN THE EVENING
waveSigHeight,waveSigHeight 3.5-4.0 FALLING 2.5-3.0
waveMaxHeight,waveMaxHeight 5.5-6.5 FALLING 4.0-5.0
wavePeriod,"wavePeriod SEA 5-6 FALLING 3-4, SWELL 9-11"
wind10M,wind10M MAINLY S-SE 10 OR LESS
wind50M,wind50M MAINLY S-SE 12 OR LESS
waveSigHeight,waveSigHeight 1.0-1.5 FALLING AROUND 1.0 BY EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING AROUND 1.5 BY EVENING
wind10M,wind10M ENE 10-14 SOON E'LY INCREASING 14-18 BY LATE AFTERNOON
wind50M,wind50M ENE 14-18 SOON E'LY INCREASING 18-22 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 0.5-1.0 RISING AROUND 1.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 1.0-1.5 RISING AROUND 2.5 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 04-06. SWELL: 08-09
wind10M,wind10M S'LY 22-28 STEADILY INCREASING 28-32
wind50M,wind50M S'LY 28-35 STEADILY INCREASING 35-40
waveSigHeight,waveSigHeight 2.0-2.5 BECOMING 4.0-5.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 3.0-4.0 BECOMING 6.5-8.0 BY END OF PERIOD
wavePeriod,wavePeriod 5-7 BECOMING 7-9
wind10M,wind10M S-SE 22-28 GUSTS 38 VERY SOON VEERING S-SW 20-25
wind50M,wind50M S-SE 28-35 GUSTS 45 VERY SOON VEERING S-SW 25-32
waveSigHeight,waveSigHeight 3.5-4.5 EASING 3.0-3.5
waveMaxHeight,waveMaxHeight 5.5-7.0 EASING 5.0-5.5
wind10M,wind10M S 38-42 BACKING SSE 45-50 GUSTS 60 BY 1200 THEN VEERING S 26-30 BY 1800 AND SSW 20-24 BY MIDNIGHT
wind50M,wind50M S 48-52 BACKING SSE 55-60 GUSTS 72 BY 1200 THEN VEERING S 33-38 BY 1800 AND SSW 25-30 BY MIDNIGHT
waveSigHeight,waveSigHeight 5.0 RISING 7.0-8.0 FOR A TIME EARLY AFTERNOON THEN FALLING 5.0-6.0 DURING THE EVENING
waveMaxHeight,waveMaxHeight 8.0 RISING 11.0-13.0 FOR A TIME EARLY AFTERNOON THEN FALLING 8.0-9.5 DURING THE EVENING
wind10M,"wind10M VARIABLE 04-08 SOON SSE 12-16 THEN INCREASING S-SSE 24-28 BY MID AFTERNOON,VEERING SSW 14-18 BY EVENING"
wind50M,"wind50M VARIABLE 08-12 SOON SSE 15-20 THEN INCREASING S-SSE 30-35 BY MID AFTERNOON,VEERING SSW 18-22 BY EVENING"
waveSigHeight,waveSigHeight AROUND 2.5 SOON 2.0-2.5 THROUGHOUT
waveMaxHeight,waveMaxHeight AROUND 4.0 SOON 3.0-4.0 THROUGHOUT
wind10M,"wind10M S'LY 20-25 BECOMING CYCLONIC VARIABLE 10-14 BY MID AFTERNOON, THEN NW 20-25 BY EARLY EVENING, INCREASING 26-30 GUSTS 40 LATER"
wind50M,"wind50M S'LY 25-32 BECOMING CYCLONIC VARIABLE 12-18 BY MID AFTERNOON, THEN NW 25-32 BY EARLY EVENING, INCREASING 32-38 GUSTS 48 LATER"
waveSigHeight,"waveSigHeight AROUND 3.0 RISING 3.5-4.0 BY AFTERNOON, FALLING 3.0-3.5 THIS EVENING"
waveMaxHeight,"waveMaxHeight AROUND 5.0 RISING 5.5-6.5 BY AFTERNOON, FALLING 5.0-5.5 THIS EVENING"
wavePeriod,wavePeriod SEA: 3-6 SWELL: 8-10 SSW BECOMING CONFUSED LATER
wind10M,"wind10M SE 26-30 SOON RISING 32-36 GUSTS 45, VEERING SSE AND EASING 26-30 THIS EVENING"
wind50M,"wind50M SE 33-38 SOON RISING 40-45 GUSTS 55, VEERING SSE AND EASING 33-38 THIS EVENING"
waveSigHeight,waveSigHeight 2.0-2.5 RISING 4.0-4.5 FOR A TIME THIS AFTERNOON THEN FALLING 3.5-4.0 LATER
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 6.5-7.0 FOR A TIME THIS AFTERNOON THEN FALLING 5.5-6.5 LATER
wavePeriod,"wavePeriod SEA 5-8, SWELL 6-7 RISING 9-10"
wind10M,wind10M NW-N  8 OR LESS INCREASING N  8-12 LATER
wind50M,wind50M NW-N 10 OR LESS INCREASING N 10-15 LATER
wind10M,wind10M ENE 16-20 EASING 12-16 BY MIDDAY THEN BACKING NE 20-24 BY LATE EVENING
wind50M,wind50M ENE 20-26 EASING 15-20 BY MIDDAY THEN BACKING NE 26-30 BY LATE EVENING
wind10M,wind10M SW 08-12 VEERING WSW 12-16 BY LATE AFTERNOON AND WNW BY LATE EVENING
wind50M,wind50M SW 12-15 VEERING WSW 15-20 BY LATE AFTERNOON AND WNW BY LATE EVENING
wind10M,wind10M VARIABLE BECOMING MAINLY N-NE 8 OR LESS
wind50M,wind50M VARIABLE BECOMING MAINLY N-NE 10 OR LESS
waveSigHeight,waveSigHeight 0.5-1.0
wavePeriod,"wavePeriod SEA 3, SWELL 7 BECOMING 9-10"
wind10M,wind10M S-SE 28-32 WITH GUSTS TO 42 SLOWLY EASING 25-30
wind50M,wind50M S-SE 35-40 WITH GUSTS TO 50 SLOWLY EASING 32-38
waveSigHeight,waveSigHeight 4.0-5.0 OCCASIONALLY 5.0-5.5
waveMaxHeight,waveMaxHeight 6.5-8.0 OCCASIONALLY 8.0-8.5
wind10M,wind10M S 10-15 BACKING SE AND RISING 25-30 BY END OF PERIOD
wind50M,wind50M S 12-18 BACKING SE AND RISING 32-38 BY END OF PERIOD
waveSigHeight,waveSigHeight 2.0-2.5 INCREASING LATER TO 3.0-3.5
waveMaxHeight,waveMaxHeight 3.0-4.0 INCREASING LATER TO 5.0-5.5
wind10M,"wind10M WSW 18-22 RISING W 22-26 FOR A TIME THEN BACKING SW 14-18 BY EVENING, BACKING S 30-34 GUSTS 42 LATER"
wind50M,"wind50M WSW 23-28 RISING W 28-33 FOR A TIME THEN BACKING SW 18-23 BY EVENING, BACKING S 38-43 GUSTS 50 LATER"
waveSigHeight,"waveSigHeight 5.0-6.0 LOCALLY 6.0-7.0 FOR A TIME IN LONG W'LY SWELL, FALLING 4.5-5.0 LATER THIS EVENING"
waveMaxHeight,"waveMaxHeight 8.0-9.5 LOCALLY 9.5-11.0 FOR A TIME IN LONG W'LY SWELL, FALLING 7.0-8.0 LATER THIS EVENING"
wavePeriod,"wavePeriod SEA 4-6 RISING 6-8 LATER, SWELL 13-15"
wind10M,wind10M SSW 14-18 GRADUALLY BACKING SE-ESE INCREASING 45-50 GUSTS 58 BY LATE EVENING
wind50M,wind50M SSW 18-22 GRADUALLY BACKING SE-ESE INCREASING 55-60 GUSTS 68 BY LATE EVENING
waveSigHeight,waveSigHeight AROUND 2.5 RISING 5.0-5.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 4.0 RISING 8.0-9.0 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 11-13
wind10M,"wind10M NW-NNW 22-28 GUSTS 38 BACKING WNW 20-25 BY MIDDAY, THEN W'LY 08-12 BY EVENING, AND SSW 24-28 LATER"
wind50M,"wind50M NW-NNW 27-35 GUSTS 45 BACKING WNW 25-32 BY MIDDAY, THEN W'LY 10-15 BY EVENING, AND SSW 30-35 LATER"
waveSigHeight,waveSigHeight 3.0-3.5 FALLING MAINLY NEAR 3.0 FOR A TIME DURING THE LATE AFTERNOON AND EARLY EVENING
waveMaxHeight,waveMaxHeight 5.0-5.5 FALLING MAINLY NEAR 5.0 FOR A TIME DURING THE LATE AFTERNOON AND EARLY EVENING
wavePeriod,wavePeriod SEA: 5-7 GFALLING 3-4 FOR A TIME. SWELL: 8-11
wind10M,wind10M SSE 32-36 GUSTS 45 VEERING SSW 16-20 EARLY AFTERNOON THEN EASING 8-12 BY EVENING
wind50M,wind50M SSE 40-45 GUSTS 55 VEERING SSW 20-25 EARLY AFTERNOON THEN EASING 10-15 BY EVENING
waveSigHeight,waveSigHeight 4.0-4.5 RISING 5.0 FOR A TIME THEN FALLING 3.0-3.5 LATER THIS EVENING
waveMaxHeight,waveMaxHeight 6.5-7.0 RISING 8.0 FOR A TIME THEN FALLING 5.0-5.5 LATER THIS EVENING
wind10M,wind10M N-NE 12-18 BACKING N-NW
wind50M,wind50M N-NW 15-22 BACKING N-NW
waveSigHeight,waveSigHeight AROUND 1.5 FALLING 1.0-1.5
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING 1.5-2.5
wind10M,wind10M S-SSE 20-24 EASING S'LY 14-18 BY EVENING
wind50M,wind50M S-SSE 25-30 EASING S'LY 18-22 BY EVENING
waveSigHeight,waveSigHeight AROUND 2.0
waveMaxHeight,waveMaxHeight AROUND 3.0
wavePeriod,wavePeriod SEA: 4-6 SWELL: 6-7
wind10M,"wind10M N-NE 22-28 OCCASIONALLY 28-32 GUSTS 45, EASING N-NNW 12-18 LATER"
wind50M,"wind50M N-NE 28-35 OCCASIONALLY 35-40 GUSTS 55, EASING N-NNW 15-22 LATER"
waveSigHeight,waveSigHeight AROUND 4.0 FALLING 2.0-2.5
waveMaxHeight,waveMaxHeight AROUND 6.5 FALLING 3.0-4.0
wind10M,wind10M CYCLONIC VARIABLE 06-10 LATER SETTING NE'LY 04-08
wind50M,wind50M CYCLONIC VARIABLE 10-14 LATER SETTING NE'LY 08-12
waveSigHeight,waveSigHeight 1.5-2.0 FALLING AROUND 1.5 BY EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING AROUND 2.5 BY EVENING
wavePeriod,wavePeriod SEAS: 04-06. SWELL: 11
wind10M,wind10M SE 18-22 STEADILY RISING S-SE 28-32 WITH GUSTS TO 42
wind50M,wind50M SE 22-28 STEADILY RISING S-SE 35-40 WITH GUSTS TO 50
waveSigHeight,waveSigHeight 2.5-3.0 STEADILY INCREASING TO 4.0-4.5
waveMaxHeight,waveMaxHeight 4.0-5.0 STEADILY INCREASING TO 6.5-7.0
wind10M,wind10M SW 25-30 GUSTS 40 SOON VEERING W-NW 18-22 THEN EASING S-SW 10 OR LESS BY EVENING. LATER E-SE 8-12
wind50M,wind50M SW 32-38 GUSTS 48 SOON VEERING W-NW 22-28 THEN EASING S-SW 12 OR LESS BY EVENING. LATER E-SE 10-15
waveSigHeight,waveSigHeight 4.0-5.0 EASING LATER 3.5-4.0
waveMaxHeight,waveMaxHeight 6.5-8.0 EASING LATER 5.5-6.5
wind10M,wind10M ESE 40-45 GUSTS 55 INCREASING 45-50 GUSTS 60 BY MIDDAY THEN VEERING SSE EASING 20-24 LATE EVENING
wind50M,wind50M ESE 50-55 GUSTS 65 INCREASING 55-60 GUSTS 70 BY MIDDAY THEN VEERING SSE EASING 26-30 LATE EVENING
waveSigHeight,"waveSigHeight 6.0-7.0 RISING 8.0-9.0 BY MIDDAY,LATER 5.5-6.5"
waveMaxHeight,"waveMaxHeight 10.0-11.0 RISING 13.0-14.0 BY MIDDAY,LATER 9.0-10.5"
wind10M,"wind10M W-SW 25-30 EASING 18-22 BY MIDDAY, THIS EVENING VEERING/INCREASING WNW 30-35 GUSTS 45"
wind50M,"wind50M W-SW 32-38 EASING 22-28 BY MIDDAY, THIS EVENING VEERING/INCREASING WNW 38-44 GUSTS 55"
waveSigHeight,waveSigHeight AROUND 3.5 GRADUALLY RISING 5.0-5.5
waveMaxHeight,waveMaxHeight AROUND 5.5 GRADUALLY RISING 8.0-9.0
wind10M,wind10M S-SE 10-14
wind50M,wind50M S-SE 12-18
waveSigHeight,waveSigHeight 2.5 SLOWLY FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight 4.0 SLOWLY FALLING 2.5-3.0
wavePeriod,wavePeriod SEA 3-4; SWELL SSE 8-9 AT FIRST THEN WSW 10-11 LATER
wind10M,"wind10M SW 12-18 BACKING SSE BY AFTERNOON, THEN INCREASING 25-30 BY END OF PERIOD"
wind50M,"wind50M SW 15-22 BACKING SSE BY AFTERNOON, THEN INCREASING 32-38 BY END OF PERIOD"
waveSigHeight,waveSigHeight 3.0-3.5 RISING AROUND 4.0 LATER
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING AROUND 6.5 LATER
wavePeriod,wavePeriod SEA: 4-5 RISING 5-7 LATER SWELL: 9-11
wind10M,wind10M NE-NNE 08-12
wind50M,wind50M NE-NNE 12-15
waveSigHeight,waveSigHeight 0.5-1.0 LATER MAINLY AROUND 1.0
waveMaxHeight,waveMaxHeight 1.0-1.5 LATER MAINLY AROUND 1.5
wind10M,"wind10M SE 12-16 FRESHENING 18-22 BY AFTERNOON, THEN VEERING S'LY AND EASING 15-20 BY LATE EVENING"
wind50M,"wind50M SE 15-20 FRESHENING 22-28 BY AFTERNOON, THEN VEERING S'LY AND EASING 18-25 BY LATE EVENING"
waveSigHeight,"waveSigHeight AROUND 1.5 RISING 1.5-2.0 BY AFTERNOON, AND MAINLY NEAR 2.0 LATER"
waveMaxHeight,"waveMaxHeight AROUND 2.5 RISING 2.5-3.0 BY AFTERNOON, AND MAINLY NEAR 3.0 LATER"
wavePeriod,wavePeriod SEA: 4-6 SWELL: 6-8
wind10M,wind10M S'LY 20-24 INCREASING 34-38 GUSTS 46 BY EVENING
wind50M,wind50M S'LY 26-30 INCREASING 43-48 GUSTS 56 BY EVENING
waveSigHeight,waveSigHeight 3.0-3.5 RISING 5.5-6.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 9.0-10.5 BY LATE EVENING
wind10M,wind10M S-SW 15-20 STEADILY RISING 35-40 WITH GUSTS TO 55
wind50M,wind50M S-SW 20-25 STEADILY RISING 45-50 WITH GUSTS TO 65
waveSigHeight,waveSigHeight 3.0-3.5 BECOMING 5.0-6.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 5.0-5.5 BECOMING 8.0-9.5 BY END OF PERIOD
wind10M,wind10M SSE 28-32 GUSTS 40 BACKING SE 20-24 GUSTS 32 BY LATE EVENING
wind50M,wind50M SSE 35-40 GUSTS 48 BACKING SE 26-30 GUSTS 38 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 SOON RISING 4.0-5.0
waveMaxHeight,waveMaxHeight 5.0-5.5 SOON RISING 6.5-8.0
wind10M,"wind10M SSE 26-32 EASING 24-28 BY MIDDAY, BACKING SE 30-35 GUSTS 45 BY MIDNIGHT"
wind50M,"wind50M SSE 32-40 EASING 25-30 BY MIDDAY, BACKING SE 38-44 GUSTS 55 BY MIDNIGHT"
waveSigHeight,"waveSigHeight 5.0-5.5 FALLING NEAR 4.0 BY EARLY AFTERNOON, RISING AROUND 5.0 BY LATE EVENING"
waveMaxHeight,"waveMaxHeight 8.0-9.0 FALLING NEAR 6.5 BY EARLY AFTERNOON, RISING AROUND 8.0 BY LATE EVENING"
wind10M,wind10M SW-S 16-22
wind50M,wind50M SW-S 20-28
waveMaxHeight,waveMaxHeight 1.5-2.0 RISING AROUND 3.0
wind10M,wind10M NW 25-30 WITH GUSTS TO 40 SOON VEERING N-NW. EASING LATER TO 22-28
wind50M,wind50M NW 32-38 WITH GUSTS TO 48 SOON VEERING N-NW. EASING LATER TO 28-35
waveSigHeight,waveSigHeight 3.0-3.5 INCREASING TO 4.0-5.0 WITH NNW SWELL
waveMaxHeight,waveMaxHeight 5.0-5.5 INCREASING TO 6.5-8.0 WITH NNW SWELL
wavePeriod,"wavePeriod 6-8 WIND WAVE, 9-11 SWELL"
wind10M,"wind10M WSW 10-14 RISING 14-18 AND VEERING WNW THIS AFTERNOON, VEERING NW 8-12 THIS EVENING"
wind50M,"wind50M WSW 12-18 RISING 18-23 AND VEERING WNW THIS AFTERNOON, VEERING NW 10-15 THIS EVENING"
waveSigHeight,"waveSigHeight 1.5 RISING 1.5-2.0 FOR A TIME, FALLING 1.0-1.5 LATER"
waveMaxHeight,"waveMaxHeight 2.5 RISING 2.5-3.0 FOR A TIME, FALLING 1.5-2.5 LATER"
wavePeriod,"wavePeriod SEA 3-5, SWELL 7-8"
wind10M,"wind10M SW 30-35 BACKING SW-S 35-38, VEERING AND EASING SW-W 20-25 DURING THE EVENING"
wind50M,"wind50M SW 38-45 BACKING SW-S 45-48, VEERING AND EASING SW-W 25-30 DURING THE EVENING"
waveSigHeight,"waveSigHeight AROUND 3.5 RISING 5.0-5.5, FALLING 3.5-4.0 LATER"
waveMaxHeight,"waveMaxHeight AROUND 5.5 RISING 8.0-9.0, FALLING 5.5-6.5 LATER"
wind10M,wind10M SW 10-14 BACKING SSE THIS AFTERNOON AND E THIS EVENING
wind50M,wind50M SW 12-18 BACKING SSE THIS AFTERNOON AND E THIS EVENING
wavePeriod,"wavePeriod SEA 3-4, NNW SWELL 11"
wind10M,"wind10M WSW 25-30 GUSTS 40 INCREASING SW 30-35 GUSTS 45 BY EVENING, THEN VEERING W'LY 32-38 GUSTS 50"
wind50M,"wind50M WSW 32-38 GUSTS 48 INCREASING SW 38-44 GUSTS 55 BY EVENING, THEN VEERING W'LY 40-48 GUSTS 60"
waveSigHeight,waveSigHeight 3.5-4.5 RISING 6.0-7.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 5.5-7.0 RISING 10.0-11.0 BY END OF PERIOD
wavePeriod,wavePeriod SEA: 5-7 RISING 7-9 SWELL: 10 RISING 13
wind10M,wind10M SSE 26-30 GUSTS 38 GRADUALLY VEERING SW-WSW 10-14 BY LATE EVENING
wind50M,wind50M SSE 32-38 GUSTS 46 GRADUALLY VEERING SW-WSW 14-18 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 FALLING 1.5-2.0 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight 5.0-5.5 FALLING 2.5-3.0 BY LATE AFTERNOON
wavePeriod,wavePeriod 05-09
wind10M,wind10M SSW 22-26 INCREASING 38-42 GUSTS 55 BY LATE AFTERNOON THEN VEERING SW 34-38 GUSTS 50 LATE EVENING
wind50M,wind50M SSW 28-32 INCREASING 48-52 GUSTS 65 BY LATE AFTERNOON THEN VEERING SW 43-48 GUSTS 60 LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 RISING 6.0-7.0 BY EVENING
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 10.0-11.0 BY EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 11-12
wind10M,wind10M NNE 18-22 GUSTS 30 GRADUALLY DECREASING 10-14 BY LATE EVENING
wind50M,wind50M NNE 22-28 GUSTS 38 GRADUALLY DECREASING 14-18 BY LATE EVENING
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.0-2.5 FOR A TIME
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 3.0-4.0 FOR A TIME
wind10M,"wind10M SSW 10-14 VEERING WSW 14-18 BY MIDDAY, EASING W'LY 10-14 BY LATE EVENING"
wind50M,"wind50M SSW 14-18 VEERING WSW 18-22 BY MIDDAY, EASING W'LY 14-18 BY LATE EVENING"
wind10M,"wind10M S-SE  8 OR LESS, BACKING W-SW"
wind50M,"wind50M S-SE 10 OR LESS, BACKING W-SW"
waveSigHeight,waveSigHeight AROUND 2.0 FALLING 1.5
waveMaxHeight,waveMaxHeight AROUND 3.0 FALLING 2.5
wind10M,"wind10M N-NNW 10-15 SOON EASING  8 OR LESS, GRADUALLY BACKING S-SSE"
wind50M,"wind50M N-NNW 12-18 SOON EASING 10 OR LESS, GRADUALLY BACKING S-SSE"
wind10M,wind10M SSE 12-16 INCREASING 14-18 BY MIDDAY THEN VEERING SSW 10-14 BY LATE EVENING
wind50M,wind50M SSE 15-20 INCREASING 18-22 BY MIDDAY THEN VEERING SSW 14-18 BY LATE EVENING
waveSigHeight,waveSigHeight 1.5-2.0 SOON RISING AROUND 2.0 FOR A TIME
waveMaxHeight,waveMaxHeight 2.5-3.0 SOON RISING AROUND 3.0 FOR A TIME
wind10M,wind10M N'LY 12-18 WITH GUSTS TO 28 IN SHOWERS SOON N-NW AND EASING 10-15 FOR A TIME
wind50M,wind50M N'LY 15-22 WITH GUSTS TO 32 IN SHOWERS SOON N-NW AND EASING 12-18 FOR A TIME
waveSigHeight,waveSigHeight 2.0-2.5 WITH NNE SWELL FALLING TO 1.5-2.0 FOR A TIME. LATER 2.0
waveMaxHeight,waveMaxHeight 3.0-4.0 WITH NNE SWELL FALLING TO 2.5-3.0 FOR A TIME. LATER 3.0
wind10M,wind10M E 06-10 LATER BACKING ENE'LY
wind50M,wind50M E 10-14 LATER BACKING ENE'LY
waveSigHeight,waveSigHeight AROUND 1.5 FALLING 1.0-1.5 BY MIDDAY
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING 1.5-2.5 BY MIDDAY
wind10M,wind10M VARIABLE 8 OR LESS BECOMING NW 8-12 FOR A TIME THEN BACKING WNW 8 OR LESS LATER
wind50M,wind50M VARIABLE 10 OR LESS BECOMING NW 10-15 FOR A TIME THEN BACKING WNW 10 OR LESS LATER
waveSigHeight,waveSigHeight AROUND 0.5
